Hash,Filepath,MimeType,Bsize,Size,Processed,Error,Match,Confidence
a61cceba6b24cec0b668b1170524441ebd676cfdf14b72a26eebcf9db6f7c8ae,C:\Users\ladmin\Downloads\lib_test_data\all_type\rtf_test.rtf,text/rtf,496298,484.67 KB,True,False,"[""CUI (first 100 chars)""]",Med
0458ae62639457b9b899d8a97ef166b93129a522fbba21614414ab586113511a,C:\Users\ladmin\Downloads\lib_test_data\all_type\sf_903_tp.docx,application/zip,49833,48.67 KB,True,False,[],None
33e1355b5da6d3130112899a7ca11c24e0d8480a738bf3ac3df0bb0af30a8ff9,C:\Users\ladmin\Downloads\lib_test_data\all_type\Test 1 False Positive_cont.docx,application/zip,33663,32.87 KB,True,False,"[""CONTROLLED""]",Low
f6da2a43f4715c25ce181b612813f4103a317f0cfd08e58ccd97496571fd7b09,C:\Users\ladmin\Downloads\lib_test_data\all_type\Test 2 True Positive Type 1.pdf,application/pdf,178256,174.08 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
e02a39911c7acdd5e56e274b3611c287623e924044e11c28419e8cb682595f4a,C:\Users\ladmin\Downloads\lib_test_data\all_type\Test 1 True Positive_cont.docx,application/zip,33692,32.9 KB,True,False,"[""CONTROLLED"", ""CONTROLLED (first 100 chars)""]",Med
49ce1094b1c542e4cab0f823821fd26cf3112a86ac58a6a44790887ebefd689e,C:\Users\ladmin\Downloads\lib_test_data\all_type\Test 3 True Positive Type 1.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,147014,143.57 KB,True,False,"[""SF902 Image CV2 detection"", ""SF902 or SF903 hash match""]",High
19f30f090695e9cad01535a378c6fda2cadc1630850416da54b68baa509891a1,C:\Users\ladmin\Downloads\lib_test_data\all_type\test.pdf,application/pdf,235964,230.43 KB,True,False,"[""SF903 Image CV2 detection"", ""CUI x11""]",High
8e824dadd3840bbac7a71be60e96ab198b960759fad0b616ab8bfecbc666da95,C:\Users\ladmin\Downloads\lib_test_data\all_type\Test 5 True Positive.pdf,application/pdf,4633419,4.42 MB,False,True,[],None
cb9c586f40e37684c9347fece86b7d570683f4e25c4f0ebb9e00befc80326ea4,C:\Users\ladmin\Downloads\lib_test_data\all_type\zipper3.zip,application/zip,483549,472.22 KB,False,True,[],None
1cd120ea509ab954a95f6a8421b74287a6cdd8027b101ec71d8b3b2b02913c1e,C:\Users\ladmin\Downloads\lib_test_data\all_type\zipper4.tar.gz,application/x-gzip,4759351,4.54 MB,False,True,[],None
9a579a34da02ae9c54e4d84dfc4283978519f5fc763e80a5bb67a5ebe212572c,C:\Users\ladmin\Downloads\lib_test_data\all_type\zipper.7z,application/x-7z-compressed,23515577,22.43 MB,True,False,"[""CUI"", ""SF902 or SF903 hash match""]",High
