Hash,Filepath,MimeType,Bsize,Size,Processed,Error,Match,Confidence
a5b26648aa9a3bd538eb459b0093ce3ab7cf38735058d30c80dc65a634796794,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\img_zip\cui_cov.jpg,image/jpeg,85037,83.04 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
27aa0041e980746eb5cbecba14ccdd1b865e93ffe0bb9a5aeefc521c5e8beaa1,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\Honu Project Plan for scanning tests PDF.pdf,application/pdf,488643,477.19 KB,True,False,"[""CUI""]",Low
dac1807ce4d70f3541ce7b10837b2a231a381201d44d875a03f3660bda028f00,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\img_zip\cui_cov.png,image/png,38867,37.96 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
4433f4381c056329f6137b61002ea8a5552e0bd26130fb136c481c0c4fa8d204,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\img_zip\cui_cov.tif,image/tiff,281926,275.32 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
265203fb3f0e3607314ee241641ab2185c13323dc796fc28928354e68ce3a31c,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\img_zip\cui_cov.tiff,image/tiff,64278,62.77 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
0ab5d0b3bf1e10e22ab363b2e869e1b8b979ae77b0c9896720098ab8e51b6ca3,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\img_zip.7z,application/x-7z-compressed,597217,583.22 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
5aa30f3eee75cf161cbe8f3d612a3ad17e7c78487456b21e5a69b74e6471a913,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\content.xml,text/xml,2049631,1.95 MB,True,False,"[""CUI (first 100 chars)""]",Med
4066325b817c0ea0f29eec3d645f1314ba8c9719c6dc152eeab9572288c63168,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\sf_903_tp.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,41660,40.68 KB,True,False,"[""SF902 or SF903 hash match""]",High
a8f16f0d288df2db76f63629f8c8b0425a0fd548d9d18625876d7ecbadfffe99,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\Test 1 False Positive_cont.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25568,24.97 KB,True,False,"[""CONTROLLED""]",Low
a61cceba6b24cec0b668b1170524441ebd676cfdf14b72a26eebcf9db6f7c8ae,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\rtf_test.rtf,text/rtf,496298,484.67 KB,True,False,"[""CUI (first 100 chars)""]",Med
a61cceba6b24cec0b668b1170524441ebd676cfdf14b72a26eebcf9db6f7c8ae,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\SF 18 Signed â€“ RFQ_70B06C22Q00000320_4S_LLC - Copy.rtf,text/rtf,496298,484.67 KB,True,False,"[""CUI (first 100 chars)""]",Med
d8ee7dc593314e43525d6054d233ca32a409c05e5cadedb7d73bb3235d3b1813,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\Test 1 True Positive_cont.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25598,25.0 KB,True,False,"[""CONTROLLED"", ""CONTROLLED (first 100 chars)""]",Med
f6da2a43f4715c25ce181b612813f4103a317f0cfd08e58ccd97496571fd7b09,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\Test 2 True Positive Type 1.pdf,application/pdf,178256,174.08 KB,True,False,"[""CUI Coverpage CV2 detection""]",High
9d4f43ea45b2b1d59f27557f9d676815f6186f4badd40db73c3e800525680c3a,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\Test 3 True Positive Type 1.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,143865,140.49 KB,True,False,"[""SF902 or SF903 hash match"", ""SF902 Image CV2 detection""]",High
19f30f090695e9cad01535a378c6fda2cadc1630850416da54b68baa509891a1,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\test.pdf,application/pdf,235964,230.43 KB,True,False,"[""SF903 Image CV2 detection"", ""CUI""]",High
cb9c586f40e37684c9347fece86b7d570683f4e25c4f0ebb9e00befc80326ea4,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\zipper3.zip,application/zip,483549,472.22 KB,True,False,"[""CUI Coverpage CV2 detection"", ""CUI//DISEMA/DISSEMC"", ""CUI"", ""SF902 or SF903 hash match"", ""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
1cd120ea509ab954a95f6a8421b74287a6cdd8027b101ec71d8b3b2b02913c1e,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\zipper4.tar.gz,application/x-gzip,4759351,4.54 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
8e824dadd3840bbac7a71be60e96ab198b960759fad0b616ab8bfecbc666da95,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\Test 5 True Positive.pdf,application/pdf,4633419,4.42 MB,True,False,"[""CUI Coverpage CV2 detection""]",High
9a579a34da02ae9c54e4d84dfc4283978519f5fc763e80a5bb67a5ebe212572c,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\zipper.7z,application/x-7z-compressed,23515577,22.43 MB,True,False,"[""SF902 or SF903 hash match"", ""CUI"", ""CUI Coverpage CV2 detection""]",High
