Hash,Filepath,MimeType,Bsize,Size,Processed,Error,Match,Confidence
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\single_file\tester\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\tp_all\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\test_files\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
562f7503215f5c25670feae517d161c969873ed0c357a79f96885972c892fe73,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\data_org\vsdx\10009.vsdx,application/octet-stream,33886,33.09 KB,True,False,"[""CONTROLLED//DISEM-A/DISSEM- (first 100 chars)""]",High
4ecbb016f601468724b62847d0a9b57c13b6f7aa4759d7187d6b3316a6fce4f0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\10053.dwg,image/vnd.dwg,115949,113.23 KB,True,False,"[""CUI (first 100 chars)""]",Med
4ecbb016f601468724b62847d0a9b57c13b6f7aa4759d7187d6b3316a6fce4f0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\mock_data\10053.dwg,image/vnd.dwg,115949,113.23 KB,True,False,"[""CUI (first 100 chars)""]",Med
4ecbb016f601468724b62847d0a9b57c13b6f7aa4759d7187d6b3316a6fce4f0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\single_file\tester\10053.dwg,image/vnd.dwg,115949,113.23 KB,True,False,"[""CUI (first 100 chars)""]",Med
4ecbb016f601468724b62847d0a9b57c13b6f7aa4759d7187d6b3316a6fce4f0,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\test_files\10053.dwg,image/vnd.dwg,115949,113.23 KB,True,False,"[""CUI (first 100 chars)""]",Med
58cc4d25a488835d3387cf6c014518d19ed59cf48eebcb492d2204c0009d14ce,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\data_org\compressed\2401.gz,application/x-gzip,167117,163.2 KB,True,False,"[""CUI (first 100 chars)""]",Med
58cc4d25a488835d3387cf6c014518d19ed59cf48eebcb492d2204c0009d14ce,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\expansion\2401.gz,application/x-gzip,167117,163.2 KB,True,False,"[""CUI (first 100 chars)""]",Med
58cc4d25a488835d3387cf6c014518d19ed59cf48eebcb492d2204c0009d14ce,C:\Users\Nate\Documents\Convergent\spillage\lib_test_data\all_type\2401.gz,application/x-gzip,167117,163.2 KB,True,False,"[""CUI (first 100 chars)""]",Med
